elapsed,phase,category,description,money,food,meds,patients,outages,morale
0,TUTORIAL,SESSION,Game session started,50,5,3,2,1,75.0
2,TUTORIAL,AI,Experimental condition enabled,50,5,3,2,1,75.0
5,STORM,PHASE,Entered STORM,50,5,3,2,1,75.0
5,STORM,AI_BASELINE,medical=n/ams (0 actions); power=n/ams (0 actions); kitchen=n/ams (0 actions),50,2,3,6,4,75.0
6,STORM,ACTION,Started medical treatment,48,2,3,6,4,73.3
7,STORM,MEDICAL,Treatment missed; patient survived,48,2,3,6,4,67.3
7,STORM,TIME,30-second time penalty applied,48,2,3,6,4,67.3
7,STORM,ACTION,Started medical treatment,48,2,3,6,4,67.3
8,STORM,AI_INTERVENTION,Suggestion activated for medical; reason=the Safety panel is red with 6 patients; baseline=Nonems; pause=905ms; prior_storm_attempts=1,48,2,3,6,4,67.3
8,STORM,MEDICAL,Patient stabilized successfully,48,2,3,5,4,75.3
8,STORM,TIME,30-second time penalty applied,48,2,3,5,4,75.3
9,STORM,ACTION,Started medical treatment,48,1,3,6,5,73.6
10,STORM,AI_INTERVENTION,Suggestion activated for medical; reason=the Safety panel is red with 6 patients; baseline=Nonems; pause=931ms; prior_storm_attempts=2,48,1,3,6,5,73.6
13,STORM,MEDICAL,Treatment missed; patient survived,48,1,3,6,5,67.6
13,STORM,TIME,30-second time penalty applied,48,1,3,6,5,67.6
14,STORM,ACTION,Started medical treatment,47,1,2,6,5,65.2
15,STORM,MEDICAL,Patient died; morale penalty applied,47,1,2,5,5,45.2
15,STORM,TIME,30-second time penalty applied,47,1,2,5,5,45.2
16,STORM,ACTION,Started medical treatment,47,1,2,5,5,42.9
17,STORM,AI_INTERVENTION,Suggestion activated for medical; reason=the Safety panel is red with 5 patients; baseline=Nonems; pause=904ms; prior_storm_attempts=4,47,1,2,5,5,42.9
17,STORM,MEDICAL,Treatment missed; patient survived,47,1,2,5,5,36.9
17,STORM,TIME,30-second time penalty applied,47,1,2,5,5,36.9
18,STORM,ACTION,Started medical treatment,45,1,1,6,6,34.4
19,STORM,MEDICAL,Patient died; morale penalty applied,45,1,1,5,6,14.4
19,STORM,TIME,30-second time penalty applied,45,1,1,5,6,14.4
20,STORM,PURCHASE,Bought one medical crate for $10,35,0,2,5,6,11.7
21,STORM,PURCHASE,Bought one medical crate for $10,24,0,3,6,6,8.7
21,STORM,PURCHASE,Bought one medical crate for $10,14,0,4,6,6,8.7
21,STORM,PURCHASE,Bought one food crate for $5,9,1,4,6,6,8.7
22,STORM,PURCHASE,Bought one food crate for $5,3,1,3,6,6,5.9
25,GAME_OVER,PHASE,Entered GAME_OVER,2,1,3,7,6,0.0
25,GAME_OVER,SESSION,Game ended with morale 0.0%,2,1,3,7,6,0.0
